dataset,category,image_path,canonical_image_path,true_defect_type,pred_defect_type,top2_defect_types,top1_correct,top2_correct,defect_family,object_type,material_or_surface,candidate_bbox,candidate_anomaly_score,candidate_gt_iou,candidate_gt_f1,visual_evidence,visual_attributes,manufacturing_processes,possible_causes,inspection_focus,clip_confidence_margin,explanation
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/000.png,datasets/MVTecAD/grid/test/bent/000.png,bent,thread,thread|metal_contamination,False,False,deformation,regular texture surface,grid-like patterned surface,"(63, 173)-(82, 194)","mean=0.8976, max=1.0000",0.112878,0.202857,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.004367142915725708,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (63, 173)-(82, 194), with area 356. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/001.png,datasets/MVTecAD/grid/test/bent/001.png,bent,metal_contamination,metal_contamination|thread,False,False,contamination,regular texture surface,grid-like patterned surface,"(96, 180)-(119, 202)","mean=0.8959, max=1.0000",0.202381,0.336634,"foreign material, residue, or unexpected blob-like region","foreign material, local stain, unexpected blob, color inconsistency","molding, surface forming, pattern alignment, visual inspection","dust, oil, residue, insufficient cleaning","broken grid structure, foreign material, local pattern interruption",0.0012855231761931818,"The image is predicted as defect type `metal_contamination` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes foreign material, residue, or unexpected blob-like region; related attributes are foreign material, local stain, unexpected blob, color inconsistency. According to the anomaly localization result, the top PatchCore candidate region is located at (96, 180)-(119, 202), with area 423. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include dust, oil, residue, insufficient cleaning. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/002.png,datasets/MVTecAD/grid/test/bent/002.png,bent,thread,thread|glue,False,False,deformation,regular texture surface,grid-like patterned surface,"(89, 42)-(111, 64)","mean=0.8962, max=1.0000",0.185255,0.3126,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.005118280649185125,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (89, 42)-(111, 64), with area 420. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/003.png,datasets/MVTecAD/grid/test/bent/003.png,bent,thread,thread|bent,False,True,deformation,regular texture surface,grid-like patterned surface,"(112, 17)-(137, 42)","mean=0.8958, max=1.0000",0.144844,0.253036,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.0068725645542144775,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (112, 17)-(137, 42), with area 541. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/004.png,datasets/MVTecAD/grid/test/bent/004.png,bent,thread,thread|metal_contamination,False,False,deformation,regular texture surface,grid-like patterned surface,"(154, 174)-(174, 198)","mean=0.8940, max=1.0000",0.265604,0.419727,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.009159177541732733,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (154, 174)-(174, 198), with area 405. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/005.png,datasets/MVTecAD/grid/test/bent/005.png,bent,thread,thread|metal_contamination,False,False,deformation,regular texture surface,grid-like patterned surface,"(169, 142)-(197, 165)","mean=0.8960, max=1.0000",0.330652,0.496978,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.0092487633228302,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (169, 142)-(197, 165), with area 544. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/006.png,datasets/MVTecAD/grid/test/bent/006.png,bent,thread,thread|bent,False,True,deformation,regular texture surface,grid-like patterned surface,"(32, 102)-(60, 128)","mean=0.8953, max=1.0000",0.253296,0.404208,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.0067835152149199884,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (32, 102)-(60, 128), with area 601. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/007.png,datasets/MVTecAD/grid/test/bent/007.png,bent,thread,thread|bent,False,True,deformation,regular texture surface,grid-like patterned surface,"(12, 39)-(42, 64)","mean=0.8965, max=1.0000",0.432124,0.603473,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.00398778915405279,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (12, 39)-(42, 64), with area 636. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/008.png,datasets/MVTecAD/grid/test/bent/008.png,bent,thread,thread|metal_contamination,False,False,deformation,regular texture surface,grid-like patterned surface,"(5, 57)-(25, 81)","mean=0.8974, max=1.0000",0.246704,0.39577,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.005244612693786621,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (5, 57)-(25, 81), with area 404. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
MVTecAD,grid,datasets/MVTecAD/grid/test/bent/009.png,datasets/MVTecAD/grid/test/bent/009.png,bent,thread,thread|glue,False,False,deformation,regular texture surface,grid-like patterned surface,"(54, 31)-(96, 77)","mean=0.9040, max=1.0000",0.204715,0.339857,"local shape distortion, bent structure, or abnormal thread-like geometry","bent part, shape distortion, misalignment, structural change","molding, surface forming, pattern alignment, visual inspection","assembly error, mechanical stress, pressing defect, handling damage","broken grid structure, foreign material, local pattern interruption",0.00557062029838562,"The image is predicted as defect type `thread` on category `grid`. The product is described as a regular texture surface with grid-like patterned surface. Visual evidence for this prediction includes local shape distortion, bent structure, or abnormal thread-like geometry; related attributes are bent part, shape distortion, misalignment, structural change. According to the anomaly localization result, the top PatchCore candidate region is located at (54, 31)-(96, 77), with area 1195. Relevant manufacturing or inspection stages include molding, surface forming, pattern alignment, visual inspection. Possible causes include assembly error, mechanical stress, pressing defect, handling damage. The inspection focus for this category includes broken grid structure, foreign material, local pattern interruption."
