category,path_key,image_path,gate_on,num_candidates,asset_mode,runtime_crop_paths,num_eval_images,best_crop_path,globbed_crop_count,missing_expected_count,all_assets_ready,reference_m_raw,reference_full_image_score
sheet_metal,sheet_metal_folder/test/bad/000180_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png,True,3,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand01_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand02_context_1.50.png""]",3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand02_context_1.50.png,3,0,True,0.0160163342952728,0.0080021023750305
sheet_metal,sheet_metal_folder/test/bad/000181_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png,True,3,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand01_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand02_context_1.50.png""]",3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand01_context_1.50.png,3,0,True,0.0144146432479222,0.0073002278804779
sheet_metal,sheet_metal_folder/test/bad/000183_000_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png,True,3,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand01_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand02_context_1.50.png""]",3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand02_context_1.50.png,3,0,True,0.0169077217578887,0.0057965219020843
sheet_metal,sheet_metal_folder/test/bad/000187_001_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png,True,3,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand01_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand02_context_1.50.png""]",3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand01_context_1.50.png,3,0,True,0.0111439625422159,0.0046549290418624
sheet_metal,sheet_metal_folder/test/bad/000188_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000188_001_shift_1.png,True,3,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000188_001_shift_1_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000188_001_shift_1_cand01_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000188_001_shift_1_cand02_context_1.50.png""]",3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000188_001_shift_1_cand02_context_1.50.png,3,0,True,0.0124489565690358,0.0019727498292922
sheet_metal,sheet_metal_folder/test/bad/000189_001_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000189_001_shift_2.png,True,3,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000189_001_shift_2_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000189_001_shift_2_cand01_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000189_001_shift_2_cand02_context_1.50.png""]",3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000189_001_shift_2_cand02_context_1.50.png,3,0,True,0.0135986506938934,0.002040684223175
sheet_metal,sheet_metal_folder/test/bad/000191_001_underexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000191_001_underexposed.png,True,3,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000191_001_underexposed_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000191_001_underexposed_cand01_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000191_001_underexposed_cand02_context_1.50.png""]",3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000191_001_underexposed_cand01_context_1.50.png,3,0,True,0.0120640496412913,0.0041875094175338
sheet_metal,sheet_metal_folder/test/bad/000193_002_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000193_002_regular.png,True,2,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000193_002_regular_cand00_context_1.50.png"", ""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000193_002_regular_cand01_context_1.50.png""]",2,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000193_002_regular_cand01_context_1.50.png,2,0,True,0.0146446824073791,0.0041707605123519
sheet_metal,sheet_metal_folder/test/bad/000194_002_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000194_002_shift_1.png,False,1,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000194_002_shift_1_cand00_context_1.50.png""]",1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000194_002_shift_1_cand00_context_1.50.png,1,0,True,0.0063189417123794,0.0032797753810882
sheet_metal,sheet_metal_folder/test/bad/000195_002_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000195_002_shift_2.png,False,1,context_1p50_topk_mean,"[""/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000195_002_shift_2_cand00_context_1.50.png""]",1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000195_002_shift_2_cand00_context_1.50.png,1,0,True,0.0079213380813598,0.0032047778367996
