file,suffix,readable,num_sample_rows,num_cols,category_col,ad2_categories_found,ad2_coverage_count,image_id_col,label_col,detector_score_col,vlm_score_col,quality_col,consistency_col,has_image_id,has_label,has_detector_score,has_vlm_score,has_quality,has_consistency,source_role,qcr_assembly_value,notes
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,.csv,True,502.0,49.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,image_path,gt_label,patchcore_score,,,,True,True,True,False,False,False,ad2_partial_per_image_source,medium,detector;label
results/stage10_dataset_expansion/stage10_b0_mvtecad2_layout_validation.csv,.csv,True,49.0,6.0,,fruit_jelly;sheet_metal;vial;walnuts,4,path,,,,,,True,False,False,False,False,False,ad2_summary_or_category_level_source,low,
results/stage10_dataset_expansion/stage10_b1_mvtecad2_manifest_summary.csv,.csv,True,48.0,9.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,is_anomaly,,,,,False,True,False,False,False,False,ad2_summary_or_category_level_source,low,label
results/stage11_mvtecad2_multicategory/stage11_a_folder_adapter_mapping.csv,.csv,True,3914.0,13.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,is_anomaly,,,,,False,True,False,False,False,False,ad2_summary_or_category_level_source,low,label
results/stage11_mvtecad2_multicategory/stage11_a_folder_adapter_summary.csv,.csv,True,24.0,9.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,is_anomaly,,,,,False,True,False,False,False,False,ad2_summary_or_category_level_source,low,label
results/stage11_mvtecad2_multicategory/stage11_a_folder_adapter_validation.csv,.csv,True,8.0,9.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,,,,,,False,False,False,False,False,False,ad2_summary_or_category_level_source,low,
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,.csv,True,8.0,12.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,,,,,,False,False,False,False,False,False,ad2_summary_or_category_level_source,low,
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_metrics.csv,.csv,True,8.0,6.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,,,,,,False,False,False,False,False,False,ad2_summary_or_category_level_source,low,
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,.csv,True,543.0,13.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,image_path,gt_label,,,,,True,True,False,False,False,False,ad2_summary_or_category_level_source,low,label
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_status.csv,.csv,True,8.0,11.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,,,,,,False,False,False,False,False,False,ad2_summary_or_category_level_source,low,
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,.csv,True,502.0,40.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,image_path,gt_label,,,,,True,True,False,False,False,False,ad2_summary_or_category_level_source,low,label
results/stage11_mvtecad2_multicategory/stage11_c_candidate_status.csv,.csv,True,4.0,9.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,,,,,,False,False,False,False,False,False,ad2_summary_or_category_level_source,low,
results/stage11_mvtecad2_multicategory/stage11_c_candidate_summary.csv,.csv,True,4.0,13.0,category,fruit_jelly;sheet_metal;vial;walnuts,4,,,,,,,False,False,False,False,False,False,ad2_summary_or_category_level_source,low,
